_id,user_name,option,score,review
658b8783a612b42ddd93baaa,anas******,"상품선택:★BEST★ 꾸준인기템 햇쌀밥용기,색상선택:[1SET] 320ml 총 3입(LLG501S3)",5,행사해서 저렴하게구매했어요\n플라스틱환경호르몬땜에 유리로구매했어요
658b8783a612b42ddd93baab,hoho****,"상품선택:★BEST★ 바로한끼 도자기밥용기,색상선택:[3SET] 450ML 2P(SLB303S2)",5,좋은 가격으로 잘 구매했어요~~
658b8783a612b42ddd93baac,문쪼꼬쪼꼬,"상품선택:[2개] 탑클라스 직사각,색상선택:2L(LBG455B)",5,김치 담으려고 주문했어요. 견고하고 튼튼하네요! 용량이 크고 유리이니 무게는 무거울 수 밖에 없지요! 마음에 드는 상품입니다.
658b8783a612b42ddd93baad,여성,"상품선택:[2개] 칸칸이 밀폐유리용기,색상선택:2칸 600ML 1개+860ML 1개(95845)",5,생각외로 크기는 큰 편이에요\n유리라서 묵직하고요\n근데 두개 잘 나뉘어져 있어서 옆으로 셀일은 없을 것 같아요\n어디 가지고 다니기엔 600ml가 좋고\n집에서 반찬 나눠담는용으로는 860ml가 좋아보여요\n옆에 똑딱이 부분 떼서 세척할 수 있는것도 좋아요~
658b8784a612b42ddd93baae,상희맘,"상품선택:[2개] 오븐/전자레인지 유리냄비,색상선택:핑크 1.5L+그레이 2L(96624)",5,유리라서 아주 좋아요\n너무더워서 요리하기 힘들어서 렌지에 해먹으려고 주문했어요\n큰사이즈는 양배추쩌먹고 중간사이즈는 \n만두도 쩌먹으면 좋을것같아요.\n활용잘해 보겠습니다.
658b8784a612b42ddd93baaf,gogo********,"선택 옵션 상품선택:[2개] 오븐/전자레인지 유리냄비,색상선택:핑크 1.5L+그레이 2L(96624)",4,너무 무겁지도 않구 재질이 참 좋네요~ 색상도 정말 마음에 듭니다! 간단히 사용하기에 적당할 것 같아요! 
658b8784a612b42ddd93bab0,ddoo****,"선택 옵션 상품선택:[2개] 오븐/전자레인지 유리냄비,색상선택:핑크 1.5L+그레이 2L(96624)",4,간단하게 전자렌지 사용으로 찜하거나 데칠때 사용하려고 구매했는데 무게감도 있고 세척도 간편해서 자주 사용할것같아요
658b8784a612b42ddd93bab1,gogo********,"선택 옵션 상품선택:[2개] 오븐/전자레인지 유리냄비,색상선택:핑크 1.5L+그레이 2L(96624)",4,너무 무겁지도 않구 재질이 참 좋네요~ 색상도 정말 마음에 듭니다! 간단히 사용하기에 적당할 것 같아요! 
658b8784a612b42ddd93bab2,Aaa00,"선택 옵션 상품선택:[2개] 오븐/전자레인지 유리냄비,색상선택:핑크 1.5L+그레이 2L(96624)",5,작은 사이즈 2개 이미 사용하고 있는데 \n너무 편해서 다른 사이즈 추가로 주문했어요 \n\n오븐도 사용 가능해서 두루두루 잘 쓰이네요
658b8784a612b42ddd93bab3,비다니공주,"선택 옵션 상품선택:[2개] 오븐/전자레인지 유리냄비,색상선택:핑크 1.5L+그레이 2L(96624)",5,잘 삿어요.1리터 구매했음 너무 작을뻔 조금 아쉽다묜 채번이 좀더 튼튼했음 하눈데 가격대비 만족해야겠다 합니다.
658b8784a612b42ddd93bab4,w805****************,"선택 옵션 상품선택:★BEST★더워요 요리보단 바로한끼 밥용기,색상선택:[1세트] 355ml 3P(LLG503S3)",5,햇반용으로 구매했는데 1인용으로 양도 적당하고 유리라 전자렌지로 덥힐때도 좋아요.\n쓰기에 좋아서 여러번 구입합니다
658b8784a612b42ddd93bab5,나의별,"선택 옵션 상품선택:[2개] 오븐/전자레인지 유리냄비,색상선택:그린 1L(LLG484)",4,계란찜용으로 샀는데 커서 활용도는 떨어짐.뚜껑 컬러가 별로라서 싼티남
658b8784a612b42ddd93bab6,ksjl*******,"선택 옵션 상품선택:[2개] 오븐/전자레인지 유리냄비,색상선택:핑크 1.5L+그레이 2L(96624)",5,세가지 사이즈중에 중간이랑 제일 큰사이즈가 활용도가 높을것 같아요\n중간사이즈는 지름이 18cm정도 되고 큰 사이즈는 지름이 20cm 정도 되요
658b8784a612b42ddd93bab7,냠냐미미미,"선택 옵션 상품선택:[2개] 오븐/전자레인지 유리냄비,색상선택:그린 1L+핑크 1.5L(96622)",5,찜용으로 쓰려고 구매했는데 라면끊여먹기에도 좋을거같아요
658b8784a612b42ddd93bab8,니아니아,"선택 옵션 상품선택:락앤락 렌지락 덮밥용기1.1L(LMW103),색상선택:오렌지",4,새는 것 없이 잘 닫히고 전자레인지 조금만 돌리면 음식이 따뜻~ 근데 용량이 다양하면 좋을 듯해요 영상은 밥 한 공기로 볶음밥 해서 담은 건데 반이 겨우 찹니다 너무 용기가 커요
658b8784a612b42ddd93bab9,soli***************,"선택 옵션 상품선택:속이 보이는 전자레인지용기,색상선택:2개 구성 덮밥용기 1.1L(LMW103)",5,날씨가 더워 감자를 쉽게 쪘어요\n튼튼하고 활용도 높아 좋아요
658b8784a612b42ddd93baba,당근당근홍,"선택 옵션 상품선택:★BEST★ 꾸준인기템 햇쌀밥용기,색상선택:320ML 3P+410ML 2P(47974)",4,쓰던 것과 비교해보니  뚜껑이 전보다 힘이 없는듯...좀 더 얇고 말랑말랑
658b8784a612b42ddd93babb,꼼마미,"선택 옵션 상품선택:속이 보이는 전자레인지용기,색상선택:2개 구성 라면용기 1.1L(LMW105)",5,전자렌지를 이용해 라면을 만들어 먹을수 있는 상품이라기에 구매해 봤어요.
658b8784a612b42ddd93babc,꼼마미,"선택 옵션 상품선택:속이 보이는 전자레인지용기,색상선택:2개 구성 국용기 1L(LMW101)",5,뚜껑을 덮어 전자렌지에 사용 가능한 제품이라기에구매해 봤어요.
658b8784a612b42ddd93babd,kent****,선택 옵션 햇쌀밥용기 300ml 2P,4,가볍게쓰기좋아요\n 유리보단 수납이편해요 상온해동시켜서 유리그릇에 덜어서 해동하니 플라스틱도 상관없을거 같아요
658b8784a612b42ddd93babe,phka****,"선택 옵션 상품선택:락앤락 렌지락 라면용기1.1L(LMW105),색상선택:오렌지",4,아직 사용전이지만 괜찮을 것 같습니다. 회사에서 라면먹기 편해질 것 같습니다. 
658b8784a612b42ddd93babf,tjdw******,"선택 옵션 상품선택:★BEST★ 바로한끼 도자기밥용기,색상선택:[3SET] 450ML 2P(SLB303S2)",5,벌써 세번째구매네요 도기라 더좋은거 같아요. 아들들 남자분들 한끼 드시기 좋을만한 크기네요. 
658b8784a612b42ddd93bac0,phka****,"선택 옵션 상품선택:락앤락 렌지락 덮밥용기1.1L(LMW103),색상선택:오렌지",4,아직 사용전이지만 괜찮을 것 같습니다. 회사에서 점심먹기 편해질 것 같습니다.
658b8785a612b42ddd93bac1,soli***************,"선택 옵션 상품선택:속이 보이는 전자레인지용기,색상선택:2개 구성 찜용기 2.4L(LMW107)",5,사이즈 넉넉해서 콩나물 익혀도 돼요\n요리 활용도 높아 좋아요
658b8785a612b42ddd93bac2,dgss*****,"선택 옵션 상품선택:[2개] 오븐/전자레인지 유리냄비,색상선택:핑크 1.5L+그레이 2L(96624)",5,이거 편해요ㅡ더운데 불앞에서 안쪄도 되고 편해요.!!!!
658b8785a612b42ddd93bac3,mhk3**,"선택 옵션 상품선택:락앤락 렌지락 라면용기1.1L(LMW105),색상선택:오렌지",4,전자렌지 용기 편리하고 튼튼해서 잘 쓰고 있어요 라면 용기라지만 1인용 찜도 충분해서 사이즈 맘에 듭니다\n찜도 하지만 ㅇ조리 음식도 담아 위쪽으로 수증기 빠지게 하고 보관하기도 좋고 식탁에 내어 놓고 사용해도 컬러가 이뻐 그릇 같이 보여요
658b8785a612b42ddd93bac4,shin******,"선택 옵션 상품선택:[2개] 오븐/전자레인지 유리냄비,색상선택:그린 1L+그레이 2L(96623)",5,호박잎찜해먹었눈데 사용법도 간단하고 좋아요
658b8785a612b42ddd93bac5,비니비니비니맘,"선택 옵션 상품선택:[2개] 오븐/전자레인지 유리냄비,색상선택:그린 1L+핑크 1.5L(96622)",5,잘활용할수있을것같아요~~^^\n브랜드믿고구매했어요
658b8785a612b42ddd93bac6,꼼마미,"선택 옵션 상품선택:[2개] 오븐/전자레인지 유리냄비,색상선택:핑크 1.5L+그레이 2L(96624)",5,다용도로 활용할 수 있는 제품 같아 구매했어요.
658b8785a612b42ddd93bac7,jine*****,"선택 옵션 상품선택:캐서롤유리냄비2.0L(LLG486),색상선택:베이직",5,락앤락제품 다들아시잖아요\n대만족이구요 가격까지 저렴해서 넘좋았어요\n사진에서처럼 야채망이랑 구석청소하는 솔 두개\n보내주셨는데 솔한개는 냉큼 친구줘버리고ㅋ\n저는 제가 구매한건가 깜짝놀랬는데 소소한거지만\n정말 감사하고 기뻤어요\n잘쓰겠습니다~
658b8785a612b42ddd93bac8,jine*****,"선택 옵션 상품선택:햇쌀밥용기 400ml 2P,색상선택:(P-1121)",5,애아빠 밥양이 큰데 용기 딱 적당하고 좋아요\n마파두부 담고 밥 담아보기도했는데 냄새베임도 없고 좋습니다. 사진은 써비스 배송이예요\n세척솔은 두개왔었구요\n세심한 배려에 놀랐네요 감사합니다
658b8785a612b42ddd93bac9,cast****,"선택 옵션 상품선택:★BEST★더워요 요리보단 바로한끼 밥용기,색상선택:[2세트] 450ml 총 4P(LLG504S2)",5,좋은제품 저렴하게 잘 구입했습니다 감사합니다 
658b8785a612b42ddd93baca,smch**,"선택 옵션 상품선택:속이 보이는 전자레인지용기,색상선택:2개 구성 라면용기 1.1L(LMW105)",4,아직 사용전이고 1+1이어서 전자렌지 사용 가능한 라면 용기 구매 하였습니다.\n라면 돌려서 먹어보고 후기 업데이트 하겠습니다.\n(사용 업데이트)\n일단 진라면 한개에 뜨거운물 붓고 전자렌지에 4분 돌렸는데 한강 라면 필 납니다.\n잘사용하겠습니다.
658b8785a612b42ddd93bacb,subu****,선택 옵션 락앤락 렌지락 덮밥용기1.1L(LMW103),5,렌지용기로 아주좋아요 색깔도 주황이라 빨강국물요리뎁혀먹을때 색안배서 좋아요!
658b8785a612b42ddd93bacc,subu****,선택 옵션 락앤락 렌지락 찜용기2.4L (LMW107),5,렌지용기로 아주좋아요 색깔도 주황이라 빨강국물요리뎁혀먹을때 색안배서 좋아요!
658b8785a612b42ddd93bacd,bsg6*****,"선택 옵션 상품선택:속이 보이는 전자레인지용기,색상선택:2개 구성 라면용기 1.1L(LMW105)",5,안전하고 빠른 배송으로 잘받았습니다.
658b8785a612b42ddd93bace,coto**,"선택 옵션 상품선택:[2개] 칸칸이 밀폐유리용기,색상선택:3칸 직사각 1040ml (LLG458)",5,튼튼하고 무거워요 물이 새지않아요
658b8785a612b42ddd93bacf,susp***,"선택 옵션 상품선택:[2개] 오븐/전자레인지 유리냄비,색상선택:핑크 1.5L+그레이 2L(96624)",5,저렴한 가격에 잘 구입했어요 만족합니다 ㅎㅎ 
658b8785a612b42ddd93bad0,휵아아아,"선택 옵션 상품선택:★BEST★ 바로한끼 도자기밥용기,색상선택:[3SET] 250ML 2P (SLB301S2)",5,지인집에서 사용하는거보고 구매했습니다. 냉동실에 넣었다 꺼내도 뚜껑 열기 편하고 ？습니다. 사이즈도 다양해서 다이어터는 작은 용량으로 먹으니 딱 좋습니다. 
658b8785a612b42ddd93bad1,choo******,"선택 옵션 상품선택:간편식글라스_납작용기650ml(LLG482),색상선택:화이트",5,전자레인지용으로 구매했어요. 볶음밥 해두면 아이들이 데워먹게 하려고 2개 구메했네요.  무겁긴 하지만 애들이 크니 이런 것도 좋으네요. 뚜껑은 플라스틱 종류에요
658b8785a612b42ddd93bad2,zzz5***,"선택 옵션 상품선택:[2개] 오븐/전자레인지 유리냄비,색상선택:핑크 1.5L+그레이 2L(96624)",4,전자렌지용 그릇으로 샀는데 잘쓸거 같아요 \n유리가 두꺼운게 더 맘에 듭니다
658b8785a612b42ddd93bad3,jine*****,"선택 옵션 상품선택:햇쌀밥용기 300ml 2P,색상선택:(P-1120)",5,제품깔끔하니 넘좋아요\n사진은 써비스 보내주신거구요\n세척솔은 두개 하나는 친구줬어요\n상품평 귀찮 안하는스탈 \n써비스감동해서 올리네요\n번창하세요
658b8785a612b42ddd93bad4,yunt***,"선택 옵션 상품선택:[2개] 오븐/전자레인지 유리냄비,색상선택:그린 1L+핑크 1.5L(96622)",4,이 가격에 두가지 용량으로 너무 만족 하네요.유리라서 확실히 무겁긴 하지만.디자이도 예쁘고 실리콘 손잡이도 있어 좋아요.
658b8786a612b42ddd93bad5,jim0***,"선택 옵션 상품선택:★BEST★ 가성비 피앤큐 햇쌀밥 용기,색상선택:[6SET] 300ML 총 12P(P-1120)",5,기존에 오래 사용해서 다 버리고 새로 구입했어요.\n신랑이 왜 이렇게 앙증 맞냐고 했는데 그래도 밥양이 꽤 들어가네요.한끼에 먹기 너무 좋아요
658b8786a612b42ddd93bad6,gree*******,"선택 옵션 상품선택:락앤락 렌지락 라면용기1.1L(LMW105),색상선택:오렌지",5,"처음에큰거구입하고,너무좋아적은거2개구입했네요~~^^정말편하고,유용하게잘쓰고있어요~~절대후회없을거예요"
658b8786a612b42ddd93bad7,khs0**,"선택 옵션 상품선택:속이 보이는 전자레인지용기,색상선택:2개 구성 국용기 1L(LMW101)",4,제품 상세 설명에는 한국산이라고 나와있는데 실제는 베트남 현지공장으로 적혀있네요 수정해주세요
658b8786a612b42ddd93bad8,sk98****,"선택 옵션 상품선택:[2개] 오븐/전자레인지 유리냄비,색상선택:핑크 1.5L+그레이 2L(96624)",4,좀 무거운데 강화유리라 구매했어요
658b8786a612b42ddd93bad9,whit*****,"선택 옵션 상품선택:★BEST★ 꾸준인기템 햇쌀밥용기,색상선택:[1SET] 320ml 총 3입(LLG501S3)",5,만족하고 잘사용하고 있어요. \n밥햐서 얼려두고 전자렌지에 해동해서 먹어요\n더 구입해야 할거 같아요
658b8786a612b42ddd93bada,82rd**,"선택 옵션 상품선택:[2개] 오븐/전자레인지 유리냄비,색상선택:그린 1L+핑크 1.5L(96622)",5,배송도 빠르고 맘에들어요 마니마니 파세요 조으네요 
658b8786a612b42ddd93badb,sk98****,"선택 옵션 상품선택:[2개] 오븐/전자레인지 유리냄비,색상선택:그린 1L+핑크 1.5L(96622)",4,유리라서 좋아 다구매 했네요
658b8786a612b42ddd93badc,lynn*******,"선택 옵션 상품선택:[2개] 오븐/전자레인지 유리냄비,색상선택:핑크 1.5L+그레이 2L(96624)",5,다른분이 쓰는거 보고 구매했어요.\n싸이즈도 적당하고 쓰기 편하네요.\n편하게 잘 쓸것 같아요.
658b8786a612b42ddd93badd,cji9***,"선택 옵션 상품선택:락앤락 렌지락 라면용기1.1L(LMW105),색상선택:오렌지",5,라면용기로 나와서 그런지 확실히  다른 렌지 용기보다\n튼튼하네요 특히 뚜껑이 단단합니다 
658b8786a612b42ddd93bade,dudg*****,"선택 옵션 상품선택:[2개] 오븐/전자레인지 유리냄비,색상선택:핑크 1.5L+그레이 2L(96624)",4,유리라서 편하게 조리해먹기좋을거같아요\n생각보다 크지않아서 큰걸로 사길잘한거같아요
658b8786a612b42ddd93badf,hani***,"선택 옵션 상품선택:락앤락 렌지락 찜용기2.4L (LMW107),색상선택:오렌지",4,아직 사용을 하지 못했습니다. 락앤락은 믿고 쓰는 제품이니까 만족할거라 생각합니다.
658b8786a612b42ddd93bae0,부자아들,"선택 옵션 상품선택:캐서롤유리냄비1.5L(LLG485),색상선택:핑크",4,넉넉한 용량에 손잡이까지 상당히 괜찮네요. 용량이 좋네요
